ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
9,Two or More Races,2015,2015,TRUE,TRUE,412031,Retail salespersons,16574.59248,4358.983116,1649,996.7809361,10,New Jersey,04000US34,new-jersey
9,Two or More Races,2015,2015,TRUE,TRUE,291141,Registered nurses,85223.1829,15309.50385,1263,872.3907573,10,New Jersey,04000US34,new-jersey
9,Two or More Races,2015,2015,TRUE,TRUE,533030,Driver/sales workers & truck drivers,56384.48132,33457.04494,2248,1163.741528,16,New Jersey,04000US34,new-jersey
2,Black,2015,2015,TRUE,TRUE,412031,Retail salespersons,20157.15395,5271.338681,13264,2823.088094,90,New Jersey,04000US34,new-jersey
2,Black,2015,2015,TRUE,TRUE,252020,Elementary & middle school teachers,51353.9826,7106.479512,9136,2344.117849,79,New Jersey,04000US34,new-jersey
1,White,2015,2015,TRUE,TRUE,533030,Driver/sales workers & truck drivers,44801.22938,3137.676424,60205,5980.706218,536,New Jersey,04000US34,new-jersey
1,White,2015,2015,TRUE,TRUE,291141,Registered nurses,68005.71284,3465.369868,53465,5640.590917,618,New Jersey,04000US34,new-jersey
1,White,2015,2015,TRUE,TRUE,412031,Retail salespersons,34883.4195,4003.87626,71504,6508.894557,713,New Jersey,04000US34,new-jersey
9,Two or More Races,2014,2014,TRUE,TRUE,412031,Retail salespersons,19299.84202,6023.522778,3127,1372.387134,25,New Jersey,04000US34,new-jersey
9,Two or More Races,2014,2014,TRUE,TRUE,291141,Registered nurses,73453.83278,20253.774,909,740.1327174,11,New Jersey,04000US34,new-jersey
9,Two or More Races,2014,2014,TRUE,TRUE,533030,Driver/sales workers & truck drivers,32905.95737,12080.08213,1337,897.575904,12,New Jersey,04000US34,new-jersey
8,Other,2014,2014,TRUE,TRUE,252020,Elementary & middle school teachers,52821.13264,14077.71349,2028,1105.359743,19,New Jersey,04000US34,new-jersey
1,White,2014,2014,TRUE,TRUE,412031,Retail salespersons,32883.10839,4123.010665,64999,6210.610655,660,New Jersey,04000US34,new-jersey
6,Asian,2014,2014,TRUE,TRUE,533030,Driver/sales workers & truck drivers,32307.60276,7217.898758,2895,1320.532242,24,New Jersey,04000US34,new-jersey
6,Asian,2014,2014,TRUE,TRUE,291141,Registered nurses,85150.05303,9715.333573,17366,3228.665894,184,New Jersey,04000US34,new-jersey
6,Asian,2014,2014,TRUE,TRUE,412031,Retail salespersons,41418.7613,12297.6499,10507,2513.443368,91,New Jersey,04000US34,new-jersey
6,Asian,2014,2014,TRUE,TRUE,252020,Elementary & middle school teachers,46621.15884,12732.83536,3557,1463.63348,42,New Jersey,04000US34,new-jersey
2,Black,2014,2014,TRUE,TRUE,533030,Driver/sales workers & truck drivers,47653.48666,8240.518715,13416,2839.16168,96,New Jersey,04000US34,new-jersey
2,Black,2014,2014,TRUE,TRUE,291141,Registered nurses,71454.68701,6822.075963,11537,2633.43548,108,New Jersey,04000US34,new-jersey
2,Black,2014,2014,TRUE,TRUE,412031,Retail salespersons,21766.2327,4862.269237,13004,2795.364802,97,New Jersey,04000US34,new-jersey
2,Black,2014,2014,TRUE,TRUE,252020,Elementary & middle school teachers,55848.98717,7112.192635,10051,2458.431188,84,New Jersey,04000US34,new-jersey
8,Other,2014,2014,TRUE,TRUE,291141,Registered nurses,78542.90168,17874.25199,1790,1038.504827,13,New Jersey,04000US34,new-jersey
8,Other,2014,2014,TRUE,TRUE,412031,Retail salespersons,21419.48973,7404.577375,6526,1981.800515,44,New Jersey,04000US34,new-jersey
9,Two or More Races,2014,2014,TRUE,TRUE,252020,Elementary & middle school teachers,40309.88852,22801.46435,610,606.3286244,7,New Jersey,04000US34,new-jersey
8,Other,2014,2014,TRUE,TRUE,533030,Driver/sales workers & truck drivers,39119.99445,5252.06659,12794,2772.771607,85,New Jersey,04000US34,new-jersey
1,White,2014,2014,TRUE,TRUE,533030,Driver/sales workers & truck drivers,40701.48163,2963.914604,64552,6189.553754,571,New Jersey,04000US34,new-jersey
1,White,2014,2014,TRUE,TRUE,291141,Registered nurses,68065.36274,3333.620569,61458,6041.662161,677,New Jersey,04000US34,new-jersey
1,White,2014,2014,TRUE,TRUE,252020,Elementary & middle school teachers,57452.24967,2099.640943,103777,7810.543463,1172,New Jersey,04000US34,new-jersey
