ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
10,$90-100k,2014,2014,TRUE,TRUE,140397,9043.894856,1501,New Jersey,04000US34,new-jersey,0.033495982
7,$60-70k,2014,2014,TRUE,TRUE,8509041,69419.53462,83840,United States,01000US,united-states,0.060421085
4,$30-40k,2014,2014,TRUE,TRUE,18444902,98294.53729,173148,United States,01000US,united-states,0.130973748
18,$170-180k,2014,2014,TRUE,TRUE,21412,3583.366584,235,New Jersey,04000US34,new-jersey,0.005108485
11,$100-110k,2014,2014,TRUE,TRUE,3135463,42986.91999,31372,United States,01000US,united-states,0.022264328
21,$200k+,2014,2014,TRUE,TRUE,2762472,40403.76674,29211,United States,01000US,united-states,0.019615789
11,$100-110k,2014,2014,TRUE,TRUE,144325,9165.089719,1476,New Jersey,04000US34,new-jersey,0.034433126
5,$40-50k,2014,2014,TRUE,TRUE,384110,14502.11328,3600,New Jersey,04000US34,new-jersey,0.091641143
19,$180-190k,2014,2014,TRUE,TRUE,17887,3276.535334,199,New Jersey,04000US34,new-jersey,0.004267489
17,$160-170k,2014,2014,TRUE,TRUE,458890,16604.29069,4732,United States,01000US,united-states,0.003258491
9,$80-90k,2014,2014,TRUE,TRUE,4560929,51576.56572,45526,United States,01000US,united-states,0.032386291
14,$130-140k,2014,2014,TRUE,TRUE,956819,23933.66896,9807,United States,01000US,united-states,0.00679419
12,$110-120k,2014,2014,TRUE,TRUE,68254,6361.707023,715,New Jersey,04000US34,new-jersey,0.016284071
20,$190-200k,2014,2014,TRUE,TRUE,7430,2114.384163,85,New Jersey,04000US34,new-jersey,0.001772653
6,$50-60k,2014,2014,TRUE,TRUE,11150671,78670.68195,109822,United States,01000US,united-states,0.079178798
6,$50-60k,2014,2014,TRUE,TRUE,351491,13931.98666,3508,New Jersey,04000US34,new-jersey,0.083858886
5,$40-50k,2014,2014,TRUE,TRUE,14459569,88435.65564,139529,United States,01000US,united-states,0.102674655
18,$170-180k,2014,2014,TRUE,TRUE,374783,15010.18497,3909,United States,01000US,united-states,0.002661263
21,$200k+,2014,2014,TRUE,TRUE,151869,9392.806085,1693,New Jersey,04000US34,new-jersey,0.036232977
13,$120-130k,2014,2014,TRUE,TRUE,80214,6886.585003,835,New Jersey,04000US34,new-jersey,0.019137493
2,$10-20k,2014,2014,TRUE,TRUE,21216573,104220.8186,188960,United States,01000US,united-states,0.150654858
12,$110-120k,2014,2014,TRUE,TRUE,1460431,29515.6025,14771,United States,01000US,united-states,0.010370243
1,< $10K,2014,2014,TRUE,TRUE,486510,16100.12113,4734,New Jersey,04000US34,new-jersey,0.116071782
